Data,Dividendo
2000-09-26 00:00:00-04:00,0.115
2000-12-19 00:00:00-05:00,0.128
2001-03-20 00:00:00-05:00,0.396
2001-03-22 00:00:00-05:00,0.125
2001-06-26 00:00:00-04:00,0.117
2001-09-17 00:00:00-04:00,0.435
2001-12-20 00:00:00-05:00,0.16
2002-03-01 00:00:00-05:00,2.73
2002-03-21 00:00:00-05:00,0.144
2002-06-24 00:00:00-04:00,0.127
2002-09-18 00:00:00-04:00,0.123
2002-12-24 00:00:00-05:00,0.228
2003-06-26 00:00:00-04:00,0.154
2003-12-23 00:00:00-05:00,0.233
2004-03-24 00:00:00-05:00,0.2
2004-06-28 00:00:00-04:00,0.295
2004-09-24 00:00:00-04:00,0.32
2004-12-21 00:00:00-05:00,0.345
2005-03-22 00:00:00-05:00,0.226
2005-06-16 00:00:00-04:00,0.262
2005-09-20 00:00:00-04:00,0.279
2005-12-21 00:00:00-05:00,0.286
2006-06-23 00:00:00-04:00,0.271
2006-09-26 00:00:00-04:00,0.323
2006-12-19 00:00:00-05:00,0.215
2007-03-20 00:00:00-04:00,0.115
2007-06-22 00:00:00-04:00,0.143
2007-09-25 00:00:00-04:00,0.891
2007-12-18 00:00:00-05:00,0.254
2008-03-18 00:00:00-04:00,0.619
2008-06-24 00:00:00-04:00,0.222
2008-09-23 00:00:00-04:00,0.232
2009-12-22 00:00:00-05:00,0.542
2010-04-30 00:00:00-04:00,0.17
2010-06-22 00:00:00-04:00,0.111
2010-09-27 00:00:00-04:00,0.07
2010-12-21 00:00:00-05:00,0.474
2011-03-28 00:00:00-04:00,0.143
2011-06-21 00:00:00-04:00,0.252
2011-09-26 00:00:00-04:00,0.211
2012-06-26 00:00:00-04:00,0.177
2012-09-25 00:00:00-04:00,0.139
2012-12-18 00:00:00-05:00,0.096
2013-03-22 00:00:00-04:00,0.082
2013-05-07 00:00:00-04:00,0.083
2013-06-25 00:00:00-04:00,0.075
2013-09-24 00:00:00-04:00,0.074
2013-12-17 00:00:00-05:00,0.151
2014-03-25 00:00:00-04:00,0.085
2014-04-29 00:00:00-04:00,0.12
2014-06-24 00:00:00-04:00,0.09
2014-09-23 00:00:00-04:00,0.088
2014-12-16 00:00:00-05:00,0.185
2015-03-17 00:00:00-04:00,0.054
2015-04-28 00:00:00-04:00,0.029
2015-06-23 00:00:00-04:00,0.052
2015-08-18 00:00:00-04:00,0.046
2015-12-22 00:00:00-05:00,0.043
2016-03-22 00:00:00-04:00,0.043
2016-06-21 00:00:00-04:00,0.047
2016-09-27 00:00:00-04:00,0.024
2017-03-21 00:00:00-04:00,0.05
2017-04-25 00:00:00-04:00,0.132
2017-06-13 00:00:00-04:00,0.049
2017-09-19 00:00:00-04:00,0.052
2017-12-27 00:00:00-05:00,0.108
2018-03-19 00:00:00-04:00,0.025
2018-04-25 00:00:00-04:00,0.084
2018-06-27 00:00:00-04:00,0.021
2018-09-26 00:00:00-04:00,0.01
2018-12-28 00:00:00-05:00,0.01
