Chave,Valor
address1,Eldorado Business Tower
address2,"30th floor Avenida Dra. Ruth Cardoso, No. 8,501 Pinheiros"
city,São Paulo
state,SP
zip,05425-070
country,Brazil
phone,55 11 3040 6874
website,https://embraer.com
industry,Aerospace & Defense
industryKey,aerospace-defense
industryDisp,Aerospace & Defense
sector,Industrials
sectorKey,industrials
sectorDisp,Industrials
longBusinessSummary,"Embraer S.A., together with its subsidiaries, designs, develops, manufactures, and sells aircraft and systems worldwide. It operates through Commercial Aviation; Defense & Security; Executive Aviation; Services & Support; and Other segments. The Commercial Aviation segment develops, produces, and sells commercial jets. Its Defense & Security segment develops and produces military aircraft and radars; and is involved in research and development of software and integrated information systems, communications, border monitoring and surveillance, space systems/satellites, and aircraft modernization services and services support, as well as command, control, communications, computer, intelligence, surveillance, and reconnaissance systems. The Executive Aviation segment develops, produces, and sells executive jets. Its Service & Support segment provides field and technical support, flight operations solutions, aircraft modification, materials management, maintenance solutions, and training programs. The Other segment engages in the supply of structural parts and hydraulic systems; production of agricultural crop-spraying aircraft; development and certification of eVTOLs; creation of a maintenance and service network, and air traffic control system for eVTOLs; development and manufacture of electrical propulsion systems; cybersecurity; and software and technical products. Additionally, the company is involved in leasing of used aircraft; pilot, mechanic, and crew training; engineering services; retail trade, maintenance, and repair of computer products; information technology consulting, data processing, application service providers, and internet hosting; and fabrication of aircraft interiors. The company was formerly known as Embraer-Empresa Brasileira de Aeronáutica S.A. and changed its name to Embraer S.A. in November 2010. Embraer S.A. was incorporated in 1969 and is headquartered in São Paulo, Brazil."
fullTimeEmployees,20923
